宁都县城郊卫生院土围诊所,NDXCJWSYTWZS,DWI00023562
江西省靖安县宫颈癌防治研究所,JXSJAXGJAFZYJS,DWI00002504
江西省高安市一心医药有限公司,JXSGASYXYYYXGS,DWI00020923
瑞昌市横港中心卫生院峨嵋分院,RCSHGZXWSYEFY,DWI00013278
罗江乡新屋村卫生所圩上医疗点,LJXXWCWSSSYLD,DWI00021819
龙南县马牯塘工业园赖升财药店,LNXMTGYYLSCYD,DWI00009971
后港陶兴村卫生所医疗点(李道周),HGTXCWSSYLD(LDZ),DWI00007802
宜春市神农堂大药房体育中心分店,YCSSNTDYFTYZXFD,DWI00000871
日新村卫生所五组分所（汪华志）,RXCWSSWZFSWHZ,DWI00007205
赣州市经济技术开发区潭东卫生院,GZSJJJSKFQTDWSY,DWI00010437
大塘埠镇大塘村第二卫生所(王翠英),DTBZDTCDEWSS(WCY),DWI00013035
泰和县禾市镇沙里村卫生所(毛月兵),THXHSZSLCWSS(MYB),DWI00019166
都昌县南峰乡暖湖村卫生所(程建长),DCXNFXNHCWSS(CJC),DWI00020397
铜鼓县排埠镇永丰村卫生所(黎立新),TGXPBZYFCWSS(LLX),DWI00018169
大塘埠镇坪石村第二卫生所（冯彦）,DTBZPSCDEWSSFY,DWI00014905
礼林白土村卫生所医疗点（徐高清）,LLBTCWSSYLDXGQ,DWI00008236
湖口县文桥乡文联村卫生所二点(杨爱华),HKXWQXWLCWSSED(YAH),DWI00015479
黄花镇居委会卫生所第一分所（刘鼎和）,HHZJWHWSSDYFSLDH,DWI00007106
江西开心人大药房连锁有限公司德安连锁店,JXKXRDYFLSYXGSDALSD,DWI00014383
赣州友邦大药房零售连锁有限公司信丰小江分店,GZYBDYFLSLSYXGSXFXJFD,DWI00021070
江西黄庆仁栈华氏大药房有限公司唐江一分店（唐江镇）,JXHQRZHSDYFYXGSTJYFDTJZ,DWI00020703
宜黄县凤岗镇中心卫生院,YHXFGZZXWSY,DWI00010711
贡江镇古田村卫生所上街医疗点（黄年珍）,GJZGTCWSSSJYLDHNZ,DWI00019086
观巢镇港背村第二卫生所(张学平),GCZGBCDEWSS(ZXP),DWI00017574
江西省靖安县宝峰镇周郎村卫生所,JXSJAXBFZZLCWSS,DWI00006084
遂川县樟邦胡氏大药房李屋坪分店,SCXZBHSDYFLWPFD,DWI00023294
于都县银坑镇银坑村卫生所(肖斌英),YDXYKZYKCWSS(XBY),DWI00018810
龙南县杨村镇五星村卫生二所(廖月连),LNXYCZWXCWSES(LYL),DWI00017072
于都县梓山镇源枫村卫生所源枫上塘医疗点,YDXSZYFCWSSYFSTYLD,DWI00016620
赣州市协记大药房有限公司虎岗店,GZSXJDYFYXGSHGD,DWI00023685
固厚乡固厚村卫生第七诊所(徐建春),GHXGHCWSDQZS(XJC),DWI00017560
大余县新城镇赤石社区卫生服务中心,DYXXCZCSSQWSFWZX,DWI00023350
温岭市横峰街道横峰村社区卫生服务站,WLSHFJDHFCSQWSFWZ,DWI00023344
龙南县杨村镇杨村村马屋卫生所(朱炎盛),LNXYCZYCCMWWSS(ZYS),DWI00016938
丰岭村卫生所(高志全),FLCWSS(GZQ),DWI00007341
余江县锦江赛芝林大药房,YJXJJSZLDYF,DWI00009456
塔前山下村卫生所(朱沛洪),TQSXCWSS(ZPH),DWI00007921
增田镇带陂村卫生所,ZTZDCWSS,DWI00006488
彭泽县众生药品超市,PZXZSYPCS,DWI00016755
浮梁县聚草堂大药房,FLXJCTDYF,DWI00021932
高家镇梅岩村卫生所,GJZMYCWSS,DWI00022133
丽水市福安堂药品超市,LSSFATYPCS,DWI00022322
吉安市吉州区江南药栈,JASJZQJNYZ,DWI00022463
宁都县百姓平价大药房,NDXBXPJDYF,DWI00021991
宜黄县黄陂镇秀昌药店,YHXHZXCYD,DWI00005712
崇义县中医院南门门诊,CYXZYYNMMZ,DWI00020956
德兴市花桥中心卫生院,DXSHQZXWSY,DWI00022193
恩江镇安居小区卫生室,EJZAJXQWSS,DWI00021509
景德镇市润生堂大药房,JDZSRSTDYF,DWI00022143
棠阴镇永兴桥村卫生所,TYZYXQCWSS,DWI00008661
江西新锋药业有限公司,JXXFYYYXGS,DWI00022166
石城县小松镇民生药店,SCXXSZMSYD,DWI00021143
湖口县文桥中心卫生院*,HKXWQZXWSY*,DWI00022227
高田第二卫生院(吴卫国),GTDEWSY(WWG),DWI00021541
江西信德医药有限公司,JXXDYYYXGS,DWI00014861
鹰潭开心人大药房(停用),YTKXRDYF(TY),DWI00002815
兴国县华尔康大药房(停用),XGXHEKDYF(TY),DWI00020705
建山兴民卫生三所(付迎春),JSXMWSSS(FYC),DWI00018342
昌傅镇安阳村卫生所(黄勤),CFZAYCWSS(HQ),DWI00018501
涌山官口村卫生所(程华生),YSGKCWSS(CHS),DWI00007628
同益乡水溪村卫生所(王红生)(停用),TYXSXCWSS(WHS)(TY),DWI00012843
大港村卫生所第二分所(石年飞)(停用),DGCWSSDEFS(SNF)(TY),DWI00006904
乐港塔瑞村卫生所,LGTRCWSS,DWI00004483
彭泽县响山村卫生所第一分所（刘毅）,PZXXSCWSSDYFSLY,DWI00006776
上饶县石人乡石人村卫生所（谭国芳）,SRXSRXSRCWSSTGF,DWI00002758
屏山村卫生室,PSCWSS,DWI00006689
平阳村卫生所,PYCWSS,DWI00022783
新干县仁寿药店,XGXRSYD,DWI00000231
乐安县康馨大药房,LAXKDYF,DWI00022172
双田德明村卫生所,STDMCWSS,DWI00022050
吉水县吉红大药房,JSXJHDYF,DWI00023301
四青朱埠村卫生所,SQZBCWSS,DWI00020566
源溪居卫生所十所,YXJWSSSS,DWI00013340
鹰潭市张腾贵诊所,YTSZTGZS,DWI00004351
何家村卫生所(何育),HJCWSS(HY),DWI00018068
万村乡墩上村卫生所,WCXDSCWSS,DWI00020758
乐平汪童华中医诊所,LPWTHZYZS,DWI00022802
浮梁县瑞康鹅湖药店,FLXRKEHYD,DWI00002042
相城镇相城村卫生所,XCZXCCWSS,DWI00017851
高家镇鲁家村卫生所,GJZLJCWSS,DWI00023006
南康寿生平价大药房*,NKSSPJDYF*,DWI00023653
南康康寿平价大药房*,NKKSPJDYF*,DWI00023647
上犹县油石中心卫生院,SYXYSZXWSY,DWI00006275
井冈山市茅坪乡卫生院,JGSSMPXWSY,DWI00023635
圩上桥镇寺前站卫生所,SQZSQZWSS,DWI00019832
孙渡街道三合村卫生室,SDJDSHCWSS,DWI00005870
武宁县百信平价大药房,WNXBXPJDYF,DWI00006955
吉安市吉州区北门卫生室,JASJZQBMWSS,DWI00020199
君埠乡陂头村卫生室三所,JBXTCWSSSS,DWI00021626
和平村卫生所于秀珍诊室,HPCWSSYXZZS,DWI00020387
和平村卫生所于秀耀诊室,HPCWSSYXYZS,DWI00020388
城北办桥背村第三卫生所,CBBQBCDSWSS,DWI00022701
塘头村卫生所李风苗诊室,TTCWSSLFMZS,DWI00004850
彭丰村卫生所吴厚伟诊室,PFCWSSWHWZS,DWI00015013
清塘村卫生所刘克明诊室,QTCWSSLKMZS,DWI00010652
红英村卫生所李和珠诊室,HYCWSSLHZZS,DWI00004531
花园村卫生所程满兰诊室,HYCWSSCMLZS,DWI00005373
莲西村卫生所罗炳辉诊室,LXCWSSLBHZS,DWI00021875
赛湖农场燕山凹村卫生所,SHNCYSACWSS,DWI00017645
银宝村卫生所李兴周诊室,YBCWSSLXZZS,DWI00020384
鸿圹镇红山村高岭卫生室,HZHSCGLWSS,DWI00022675
万载县仙源乡界岭村卫生所,WZXXYXJLCWSS,DWI00019021
九江市九九大药房有限公司,JJSJJDYFYXGS,DWI00021756
南康康源大药房（泰康店）,NKKYDYFTKD,DWI00021428
四十里街镇韩丰村李燕诊室,SSLJZHFCLYZS,DWI00016653
堂境村卫生所郭晓清医疗点,TJCWSSGXQYLD,DWI00001086
德安县车桥镇城门村卫生所,DAXCQZCMCWSS,DWI00022694
泉江镇四农村刘美兰卫生所,QJZSNCLMLWSS,DWI00010301
铁石口镇长远村第一卫生所,TSKZCYCDYWSS,DWI00022570
银宝湖乡鸣山村金运平诊室,YBHXMSCJYPZS,DWI00020392
江洲镇联洲村卫生所(程章春),JZZLZCWSS(CZC),DWI00014081
新城镇龙王庙村袁路平卫生所,XCZLWMCYLPWSS,DWI00022296
礼林卫生所医疗点（戴春华）,LLWSSYLDDCH,DWI00008247
玉山县南山乡枫林村民康药店*,YSXNSXFLCMKYD*,DWI00003672
珠珊镇石洲村第一卫生(所喻鹤),ZSZSZCDYWS(SYH),DWI00014704
跃进村卫生所第一分所(何子玉),YJCWSSDYFS(HZY),DWI00007545
崇义县横水镇横水村第三卫生所,CYXHSZHSCDSWSS,DWI00020958
赣州市经济技术开发区花苑药行,GZSJJJSKFQHYYX,DWI00015791
小江镇下围村第二卫生所(林光连),XJZXWCDEWSS(LGL),DWI00021850
小江镇井塘村第一卫生所(许春华),XJZJTCDYWSS(XCH),DWI00012822
金州村卫生所五组分所（夏云玖）,JZCWSSWZFSXYJ,DWI00007210
弋阳县南岩镇光辉村卫生所(夏丽君),YXNYZGHCWSS(XLJ),DWI00022956
马当镇居委会卫生所第六分所(黄长霞),MDZJWHWSSDLFS(HCX),DWI00007088
江西九州通药业有限公司(原江中九州通),JXJZTYYYXGS(YJZJZT),DWI00011283
洎阳街道办城郊卫生所医疗点（蔡晓燕）,YJDBCJWSSYLDCXY,DWI00003990
千方药店(南丰),QFYD(NF),DWI00000746
乐安县济生药店,LAXJSYD,DWI00022867
乐平胡细林诊所,LPHXLZS,DWI00022955
定南友好大药房,DNYHDYF,DWI00009499
樟树市民康药店,ZSSMKYD,DWI00003360
萍乡济生大药房,PXJSDYF,DWI00003043
徐氏诊所(徐奇兰),XSZS(XQL),DWI00021675
丰城市同顺堂药店,FCSTSTYD,DWI00007047
南丰县莱溪卫生院,NFXLXWSY,DWI00015849
张家山杏塘卫生所,ZJSXTWSS,DWI00019805
永新县好大夫药房,YXXHDFYF,DWI00005854
瑞金市诚信大药房,RJSCXDYF,DWI00010907
赣县石芫大众药房,GXSDZYF,DWI00010791
连城村联民卫生所,LCCLMWSS,DWI00022693
万安县福尔康大药房,WAXFEKDYF,DWI00012909
兴国县华永康大药房,XGXHYKDYF,DWI00022812
大石乡溪边村卫生所,DSXXBCWSS,DWI00009236
宋溪镇田东村卫生所,SXZTDCWSS,DWI00022027
江西天虹医药有限公司,JXTHYYYXGS,DWI00023579
马头山镇湖石村卫生所,MTSZHSCWSS,DWI00022046
崇义县麟潭药店(钟菊华),CYXTYD(ZJH),DWI00023563
仁和村卫生所（胡金生）,RHCWSSHJS,DWI00000471
小坑村卫生所（郭超凡）,XKCWSSGCF,DWI00000845
石李村卫生所胡北兵诊室,SLCWSSHBBZS,DWI00023662
石马镇济民村卫生室一所,SMZJMCWSSYS,DWI00021900
赣州友邦大药房大余分店,GZYBDYFDYFD,DWI00020677
赣州市四海医药有限公司,GZSSHYYYXGS,DWI00003239
丰城市荷湖乡康庄百姓药店,FCSHHXKZBXYD,DWI00023630
乐安县湖溪乡东堆村卫生所,LAXHXXDDCWSS,DWI00018044
宁海县广顺大药房有限公司,NHXGSDYFYXGS,DWI00009253
宜黄县中港乡何坊村卫生所,YHXZGXHFCWSS,DWI00022658
建宁县黄埠乡黄埠村卫生所,JNXHBXHBCWSS,DWI00023570
新庆余堂连锁总店欧里药店,XQYTLSZDOLYD,DWI00021075
渝水区解放东路康寿大药房,YSQJFDLKSDYF,DWI00023624
湖口县大中社区卫生所(廖华斌),HKXDZSQWSS(LHB),DWI00016182
万年县神农实业有限公司城南药店,WNXSNSYYXGSCNYD,DWI00017132
江西汇源医药有限公司安远分公司,JXHYYYYXGSAYFGS,DWI00006828
江西康力药品物流有限公司(黄国军),JXKLYPWLYXGS(HGJ),DWI00001703
桐畈镇桐畈居第一卫生所（杨懿颜）,TZTJDYWSSYY,DWI00009039
江西省医药公司新干县公司七琴药店,JXSYYGSXGXGSQQYD,DWI00023002
宁海县广顺大药房有限公司北斗分公司,NHXGSDYFYXGSBDFGS,DWI00009252
江西康力药品物流有限公司浮梁分公司,JXKLYPWLYXGSFLFGS,DWI00008407
江西汇仁集团医药科研营销有限公司涂埠配送站,JXHRJTYYKYYXYXGSTBPSZ,DWI00023702
上饶县吉春五星大药房,SRXJCWXDYF,DWI00023371
上高县黄水根中医诊所,SGXHSGZYZS,DWI00001829
九江市永安平价大药房,JJSYAPJDYF,DWI00023213
会昌县小密乡康泰药店,HCXXMXKTYD,DWI00022850
会昌县庄口镇安康药房,HCXZKZAKYF,DWI00023166
抚州市文昌平价大药房,FZSWCPJDYF,DWI00017609
江西宏华医药有限公司,JXHHYYYXGS,DWI00011265
湖泽镇罗沙新村卫生室,HZZLSXCWSS,DWI00017568
虞家河乡开天村卫生所,YJHXKTCWSS,DWI00016404
虬津镇何岭村二卫生所,JZHLCEWSS,DWI00010471
陈营社区卫生服务中心,CYSQWSFWZX,DWI00000224
下村镇下村村第一卫生所,XCZXCCDYWSS,DWI00022842
丰城市拖船好医生大药房,FCSTCHYSDYF,DWI00016565
丰城市梅林好医生大药房,FCSMLHYSDYF,DWI00016067
井冈山市新城镇华康药店,JGSSXCZHKYD,DWI00023263
南丰县紫霄镇中心卫生院,NFXZXZZXWSY,DWI00023311
大余县华联大药房新城店,DYXHLDYFXCD,DWI00023401
奉新县冯客隆大药房二部,FXXFKLDYFEB,DWI00006830
宁都县三和医药有限公司,NDXSHYYYXGS,DWI00021789
小江镇西江村第二卫生所,XJZXJCDEWSS,DWI00022983
崇仁乡崇仙村第二卫生所,CRXCXCDEWSS,DWI00023049
崇仙乡荫桥村第二卫生所,CXXYQCDEWSS,DWI00022687
应家村卫生所应占胜诊室,YJCWSSYZSZS,DWI00022805
文峰乡大路村第一卫生所,WFXDLCDYWSS,DWI00006695
新城镇新城村谢文卫生所,XCZXCCXWWSS,DWI00022291
樟树市临江镇敬一堂药店,ZSSLJZJYTYD,DWI00000366
永修县老科协康复门诊部,YXXLKXKFMZB,DWI00018752
江西鑫国立医药有限公司,JXGLYYYXGS,DWI00023015
瑞金市云石山友欣大药房,RJSYSSYXDYF,DWI00020275
畈徐村卫生所徐汉淼诊室,XCWSSXHZS,DWI00023437
赣西科技职业学院医务室,GXKJZYXYYWS,DWI00022960
鹰潭市保康大药房杏南店,YTSBKDYFXND,DWI00023348
鹰潭市月湖区胜利大药房,YTSYHQSLDYF,DWI00023205
龙头山乡南溪村卫生诊所,LTSXNXCWSZS,DWI00008655
乐安县公溪镇连塘村卫生所,LAXGXZLTCWSS,DWI00022864
乐安县牛田镇流坑村卫生所,LAXNTZLKCWSS,DWI00021805
于都县梓山镇塘贯村卫生所,YDXSZTGCWSS,DWI00016559
于都县靖石乡渔翁村卫生所,YDXJSXYWCWSS,DWI00018912
众卜秧坂村卫生所（马良）,ZBYCWSSML,DWI00021177
分宜县天工路百草堂大药房,FYXTGLBCTDYF,DWI00022213
南昌市青云谱乐百姓大药房,NCSQYPLBXDYF,DWI00022795
吉安市吉州区开心龙大药房,JASJZQKXLDYF,DWI00022015
大石乡水阁村夏红柳卫生所,DSXSGCXHLWSS,DWI00009035
高陂镇高陂村卫生所(曾祥林),GZGCWSS(ZXL),DWI00018296
桐畈镇桐畈居第三卫生所(赵建文),TZTJDSWSS(ZJW),DWI00002236
涌山枫林村卫生所南岭医疗点(汪美珍),YSFLCWSSNLYLD(WMZ),DWI00008147
杨礼达诊所,YLDZS,DWI00022648
横江康民药店,HJKMYD,DWI00004370
安远县百草药房,AYXBCYF,DWI00020480
众埠界首村卫生所,ZBJSCWSS,DWI00024655
鹅岭村洋江卫生所,ELCYJWSS,DWI00020451
鹰潭市康心大药房,YTSKXDYF,DWI00024838
永新县怀忠广济药店,YXXHZGJYD,DWI00007974
赣县南塘忠群大药房,GXNTZQDYF,DWI00023961
新建县石岗平价大药房,XJXSGPJDYF,DWI00022215
泰和县桥头镇桥头药店,THXQTZQTYD,DWI00003051
上饶县石人乡余家淳药店,SRXSRXYJCYD,DWI00003820
涌山沿沟村卫生所(齐鉴明),YSYGCWSS(QJM),DWI00007633
涌山车溪村卫生所(朱长财),YSCXCWSS(ZCC),DWI00007616
乐安县湖溪乡社背村卫生所,LAXHXXSBCWSS,DWI00018049
内良乡内良村魏艳阳卫生所,NLXNLCWYYWSS,DWI00024567
南丰县桑田镇肖坊村卫生所,NFXSTZXFCWSS,DWI00024300
赣县梅林镇桃源村卫生四所,GXMLZTYCWSSS,DWI00024126
乌石镇乌石村卫生所(胡春平),WSZWSCWSS(HCP),DWI00021556
沂江乡大州村卫生室(姚小阳),YJXDZCWSS(YXY),DWI00024671
珠山街道御窑社区卫生服务站,ZSJDYYSQWSFWZ,DWI00022592
于都县黄麟乡公馆村卫生所圩上医疗点,YDXHXGGCWSSSYLD,DWI00023619
葛坳乡曲洋村卫生所新圩医疗点(黄桂琼),GXQYCWSSXYLD(HGQ),DWI00023547
敖溪镇敖溪村卫生所(谢调皮),AXZAXCWSS(XDP),DWI00015146
武宁县康晟药房,WNXKYF,DWI00022280
湖口县兴湖大药房,HKXXHDYF,DWI00023657
三坊乡宗溪村卫生室,SFXZXCWSS,DWI00021382
洋湖乡小溪村卫生所,YHXXXCWSS,DWI00008128
潭头乡下固村卫生室,TTXXGCWSS,DWI00020817
瑞州街办连锦卫生十所,RZJBLJWSSS,DWI00021922
赣县南塘卫国平价药店,GXNTWGPJYD,DWI00017358
正平镇正平村第五卫生所,ZPZZPCDWWSS,DWI00020933
赣州济民大药房连锁有限公司,GZJMDYFLSYXGS,DWI00024532
井冈山市医药公司龙市药店第三门市部,JGSSYYGSLSYDDSMSB,DWI00023267
赣州千家大药房有限公司大塘第一分公司,GZQJDYFYXGSDTDYFGS,DWI00023356
江西省资溪县鹤城镇泸声村卫生所(邱增旗),JXSZXXHCZSCWSS(QZQ),DWI00022661
江西康力药品物流有限公司(陈叶红)(原胡志华),JXKLYPWLYXGS(CYH)(YHZH),DWI00002267
婺源县鸳鸯湖商贸有限责任公司鸳鸯湖江湾药店,YXYYHSMYXZRGSYYHJWYD,DWI00023131
江西黄庆仁栈华氏大药房有限公司修水县百汇连锁门店,JXHQRZHSDYFYXGSXSXBHLSMD,DWI00013012
江西黄庆仁栈华氏大药房有限公司新庆余堂里木塘药店,JXHQRZHSDYFYXGSXQYTLMTYD,DWI00021634
兴国县潋江镇五里亭黄海申卫生室,XGXJZWLTHHSWSS,DWI00017526
于都县靖石乡杨梅村卫生所龙屋医疗点,YDXJSXYMCWSSLWYLD,DWI00022239
大阿镇禾西村第二卫生所,DAZHXCDEWSS,DWI00021759
姚家边管理处第六卫生所,YJBGLCDLWSS,DWI00005816
安山村卫生所（王月根）,ASCWSSWYG,DWI00015051
安西镇大星村第一卫生所,AXZDXCDYWSS,DWI00021672
后港绾口卫生所（涂国辉）,HGKWSSTGH,DWI00006724
欧阳火明诊所,OYHMZS,DWI00005378
水上村卫生所,SSCWSS,DWI00009248
永新吉德药店,YXJDYD,DWI00014375
湖城村卫生室,HCCWSS,DWI00005696
灼岭村卫生所,ZLCWSS,DWI00005954
珠坑村卫生所,ZKCWSS,DWI00014669
盆珠村卫生所,PZCWSS,DWI00000815
秋溪村卫生室,QXCWSS,DWI00014013
稻香村大药房,DXCDYF,DWI00005501
红娇中医诊所,HJZYZS,DWI00004872
罗溪村卫生所,LXCWSS,DWI00006753
豪溪村卫生所,HXCWSS,DWI00002092
鄱阳湖滨医院,YHBYY,DWI00015112
钱塘村卫生所,QTCWSS,DWI00015506
长江村卫生所,CJCWSS,DWI00014634
龙南县中医院,LNXZYY,DWI00009271
万安县惠康药店,WAXHKYD,DWI00002909
万年县人民医院,WNXRMYY,DWI00003404
万载县利康药店,WZXLKYD,DWI00001066
上富中心卫生院,SFZXWSY,DWI00006334
上清济众大药房,SQJZDYF,DWI00004576
上犹县陡水药店,SYXDSYD,DWI00005841
上饶市康泰药店,SRSKTYD,DWI00014625
上高县华联药房,SGXHLYF,DWI00000203
上高县康华药店,SGXKHYD,DWI00000323
上高县德生药房,SGXDSYF,DWI00001680
江西百姓同泰药房连锁有限公司南昌洪都店,JXBXTTYFLSYXGSNCHDD,DWI00012911
江西百姓同泰药房连锁有限公司宜春南路店,JXBXTTYFLSYXGSYCNLD,DWI00009191
江西百姓同泰药房连锁有限公司抚州钧天店,JXBXTTYFLSYXGSFZJTD,DWI00010400
赣州友邦大药房零售连锁有限公司田村分店,GZYBDYFLSLSYXGSTCFD,DWI00018960
丰城市开心人大药房连锁有限公司丰矿连锁店,FCSKXRDYFLSYXGSFKLSD,DWI00013101
丰城市开心人大药房连锁有限公司铁路连锁店,FCSKXRDYFLSYXGSTLLSD,DWI00019877
江西开心人大药房连锁有限公司玉山连锁二店,JXKXRDYFLSYXGSYSLSED,DWI00016599
会昌县广场大药房,HCXGCDYF,DWI00015027
余福根内儿科诊所,YFGNEKZS,DWI00009601
广丰县永丰镇卫生所(周和顺),GFXYFZWSS(ZHS),DWI00001768
广丰县畈上村卫生所(王美明),GFXSCWSS(WMM),DWI00002743
庄稼村刘俊贵卫生所(唐江镇),ZJCLJGWSS(TJZ),DWI00020119
招携镇南槽村卫生所(董金生),ZXZNCCWSS(DJS),DWI00015247
招携镇山湾村卫生所(肖新文),ZXZSWCWSS(XXW),DWI00015243
永泰镇孔灌村卫生所(曾春福),YTZKGCWSS(ZCF),DWI00018669
江洲镇团洲村卫生所(方敏发),JZZTZCWSS(FMF),DWI00014094
江洲镇柳洲村卫生所(杨青松),JZZLZCWSS(YQS),DWI00014003
江西省新余市医药总公司(一),JXSXYSYYZGS(Y),DWI00020160
湖口县双钟镇曹琦诊所(曹琦),HKXSZZCZS(C),DWI00015070
界水乡布下村卫生所(吕金华),JSXBXCWSS(LJH),DWI00015083
程塘村卫生所程木阳诊室(余),CTCWSSCMYZS(Y),DWI00014046
程毛村卫生所一分所(程春亮),CMCWSSYFS(CCL),DWI00012928
群众村卫生所朱清泉诊室(余),QZCWSSZQQZS(Y),DWI00013949
赤田镇涂家村卫生所(涂忠武),CTZTJCWSS(TZW),DWI00001157
赤田镇童家村卫生所(童弟爱),CTZTJCWSS(TDA),DWI00001189
金竹乡大通村卫生所(刘才生),JZXDTCWSS(LCS),DWI00015270
金竹乡引水村卫生所(邓小亮),JZXYSCWSS(DXL),DWI00015272
陶唐乡园内村卫生室(吴富斌),TTXYNCWSS(WFB),DWI00019657
青龙村卫生所占应水诊室(余),QLCWSSZYSZS(Y),DWI00013768
九江县为民药店,JJXWMYD,DWI00021783
井冈山市中医院,JGSSZYY,DWI00000451
兴国友邦大药房,XGYBDYF,DWI00020690
吉安县兴华药房,JAXXHYF,DWI00021432
固村镇便民药店,GCZBMYD,DWI00017830
城区吴桂生诊所,CQWGSZS,DWI00001475
大余县祥斌药店,DYXXBYD,DWI00016898
峡江中学医务室,XJZXYWS,DWI00000465
峡江县吉星药店,XJXJXYD,DWI00000384
崇义县章源药店,CYXZYYD,DWI00001746
广丰县仁心药房,GFXRXYF,DWI00004507
弋阳县惠民药店,YXHMYD,DWI00019838
弋阳县漆工药店,YXQGYD,DWI00021727
彭杰内儿科诊所,PJNEKZS,DWI00001814
彭玉中中医诊所,PYZZYZS,DWI00015118
徐名清中医诊所,XMQZYZS,DWI00019302
德兴市康健药店,DXSKJYD,DWI00007351
德兴市沈氏药房,DXSSSYF,DWI00007834
抚州市善琴药店,FZSSQYD,DWI00020454
操惠珍博爱诊所,CHZBAZS,DWI00014977
新余市柳杨药行,XYSLYYX,DWI00001647
方名旺中医诊所,FMWZYZS,DWI00021346
森林公园卫生所,SLGYWSS,DWI00021751
武宁县惠康医院,WNXHKYY,DWI00010468
永新县仁爱医院,YXXRAYY,DWI00017826
熊英华内科诊所,XYHNKZS,DWI00014869
赣县开心大药房,GXKXDYF,DWI00003220
赣州市商城药行,GZSSCYX,DWI00021653
赣州市益寿药店,GZSYSYD,DWI00010387
鄱阳县东溪药店,YXDXYD,DWI00013166
高安市清高药店,GASQGYD,DWI00018251
高安市祥符药店,GASXFYD,DWI00000284
鸬鹚程泽敏诊所,CZMZS,DWI00002607
麻坛村二卫生所,MTCEWSS,DWI00010393
龙南县同仁药房,LNXTRYF,DWI00008464
龙南县张彬药房,LNXZBYF,DWI00008907
柘下村卫生所吴吉美诊室,XCWSSWJMZS,DWI00018138
桥头村卫生所（贺冬明）,QTCWSSHDM,DWI00020641
梅水乡洋田村黄清波诊所,MSXYTCHQBZS,DWI00004037
横水镇上营村第三卫生所,HSZSYCDSWSS,DWI00021172
横江镇秋溪社区服务中心,HJZQXSQFWZX,DWI00020736
方宋村卫生所宋秀干诊室,FSCWSSSXGZS,DWI00004512
李咀村卫生所王祖贵诊室,LJCWSSWZGZS,DWI00020512
欧里镇白梅村第三卫生所,OLZBMCDSWSS,DWI00018337
永修县徐自东平价大药房,YXXXZDPJDYF,DWI00021820
江西冶金建设公司卫生院,JXYJJSGSWSY,DWI00008623
江西弘源药业有限公司(L),JXHYYYYXGS(L),DWI00020928
沙洲村卫生所严长森诊室,SZCWSSYCSZS,DWI00014930
河西村卫生所李赛勇诊室,HXCWSSLSYZS,DWI00020494
泰和县老百姓大药房二部,THXLBXDYFEB,DWI00004341
浦城县百岁药店仙阳分店,PCXBSYDXYFD,DWI00003323
海行村卫生所（郑柏贵）,HXCWSSZBG,DWI00007142
漳溪村卫生所吴义发诊室,ZXCWSSWYFZS,DWI00020539
